STRAATNAAM;POSTCODE6;POSTCODE4;HSNR_laag;HSNR_hoog;HSNR_aant;BUURTCODE;BUURTNAAM;WIJKCODE;WIJKNAAM;STADSDEELCODE;STADSDEELNAAM;x_rd;y_rd;latitude;longitude
Halvemaanstraat;5651BJ;5651.0;1;43;22.0;624;Drents Dorp;62;Wijk Halve Maan;6;Stadsdeel Strijp;159294.20098;384481.92515;51.4494075169;5.44897573826
Halvemaanstraat;5651BP;5651.0;56;86;16.0;624;Drents Dorp;62;Wijk Halve Maan;6;Stadsdeel Strijp;159091.22265;384450.205009;51.4491239086;5.44605539853
Hanartstraat;5623EZ;5623.0;3;7;5.0;425;Rapenland;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160832.48085;385859.351551;51.4617748876;5.47112770535
Handelstraat;5654HR;5654.0;2;4;2.0;725;Bennekel-West, Gagelbosch;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;159543.876018;381117.45085;51.4191633907;5.45252399843
Hartelstein;5655AK;5655.0;2;32;16.0;732;Hanevoet;73;Wijk Gestelse Ontginning;7;Stadsdeel Gestel;159001.84525;380777.94649;51.4161158083;5.44472785803
Hasselaarstraat;5616SW;5616.0;1;24;22.0;615;Schoot;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159425.633895;383735.6642;51.4426986058;5.45085708539
Hasselven;5645KP;5645.0;1;6;6.0;235;Gijzenrooi;23;Wijk Putten;2;Stadsdeel Stratum;164009.103707;381226.45035;51.4200894391;5.51671918187
Hastelweg;5616HK;5616.0;69;101;24.0;613;Engelsbergen;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159624.662332;383050.4031;51.4365374179;5.45371079864
Hastelweg;5616HM;5616.0;42;80;38.0;614;Schouwbroek;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159704.582139;383137.50365;51.4373196736;5.45486133548
Hastelweg;5616HN;5616.0;82;120;20.0;614;Schouwbroek;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159576.741109;383052.15625;51.4365535682;5.45302163945
Hastelweg;5652CK;5652.0;128;170;22.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;159379.886584;382990.84915;51.4360040657;5.45018979919
Hastelweg;5652CL;5652.0;172;230;31.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;158889.484244;383006.21235;51.4361457654;5.44313729938
Hastelweg;5652CM;5652.0;232;244;12.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;158617.128551;383065.25405;51.43667829;5.43922103985
Hattingastraat;5641SC;5641.0;1;10;9.0;333;Muschberg, Geestenberg;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164163.054467;383785.0817;51.443085628;5.51899900511
Havensingel;5611VR;5611.0;1;63;31.0;211;Irisbuurt;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;161992.392007;383010.0285;51.436150072;5.48776162631
